# instance by G2
# solution = 11001010110110101000010111010001110010010100000101101101111010111001111101010010010110111011010101110001100000100110010100101111000100100100101100000001101000100110110100101001011001100001011100101001
200 200 3
-176 -97 187 
-134 -163 -104 
-28 103 50 
-120 -127 -44 
36 -180 130 
73 42 38 
-101 -13 -53 
182 75 86 
22 29 146 
-89 -55 -51 
-155 189 91 
-128 -151 177 
-4 181 86 
73 94 121 
8 -120 69 
177 -129 170 
-149 83 110 
189 146 -75 
102 -160 174 
130 143 -42 
189 35 7 
-20 86 -195 
-118 -162 -167 
177 -162 100 
197 -50 -183 
117 -179 -8 
30 -45 175 
138 -190 11 
172 -113 -126 
31 -191 -170 
64 181 35 
-163 -66 -1 
139 -67 -153 
-94 93 -19 
-14 172 186 
-10 129 -172 
-93 194 -127 
-111 1 62 
78 6 120 
24 119 21 
-130 131 154 
106 30 -186 
-150 -50 73 
-22 62 190 
186 14 132 
51 90 -54 
-141 -63 96 
-41 187 -26 
-144 11 82 
-146 97 116 
-173 -175 149 
89 -82 121 
191 39 -183 
-24 -126 -102 
-106 -183 47 
135 109 29 
-136 -91 -53 
102 -158 -13 
-71 133 70 
160 -165 152 
-53 60 32 
124 -115 166 
119 97 -90 
-32 -3 -152 
53 31 -192 
104 -188 124 
-140 83 142 
-194 62 -94 
179 -22 160 
128 41 147 
-89 -43 -26 
-5 48 -105 
-145 175 -2 
107 -108 -96 
126 36 181 
-33 -81 44 
110 -15 -117 
-9 140 141 
178 44 -54 
133 73 173 
118 -99 -191 
25 167 -5 
-123 37 -143 
161 33 199 
-70 102 -35 
127 14 -120 
-89 2 113 
-88 -112 186 
162 -163 189 
-199 47 189 
171 117 -1 
-173 105 18 
-80 -178 -65 
20 192 -168 
-182 -169 187 
115 3 108 
110 102 183 
-38 -9 -132 
200 41 -51 
-33 -185 177 
157 134 111 
-74 -105 -131 
-40 -142 -91 
56 -7 119 
-71 117 34 
-123 -126 61 
76 -197 -85 
-190 -70 87 
-196 107 -85 
-189 -24 21 
119 -73 -128 
18 156 -122 
-88 95 -121 
-47 20 146 
-53 59 8 
-17 -164 -68 
-124 -53 -138 
122 9 136 
40 154 156 
-87 -133 -100 
-165 83 -18 
-135 131 -187 
194 30 -147 
28 -192 151 
-46 -32 139 
27 -181 30 
-25 71 44 
-179 -78 -61 
153 -50 -200 
-9 -25 98 
16 -197 168 
-33 159 185 
-157 156 3 
-135 -126 17 
188 102 -57 
-12 -28 -62 
16 172 195 
31 99 106 
54 14 -197 
14 -6 -120 
174 -119 101 
-65 -171 -137 
154 -71 -11 
-87 -84 68 
47 58 122 
12 177 -92 
-188 -30 117 
114 86 -54 
14 79 -40 
-68 123 112 
112 -52 -24 
122 -60 67 
-96 21 -86 
101 26 45 
95 -197 125 
-77 -24 196 
101 -76 -116 
-107 -115 122 
63 -162 -159 
-54 -5 -23 
-165 -127 176 
-177 -54 158 
-154 -5 172 
-148 -153 -61 
136 -173 92 
160 163 -40 
-100 -39 164 
31 102 57 
155 -70 -91 
-36 131 -33 
65 -153 30 
165 -33 -179 
5 -183 161 
-166 -127 -193 
-161 -26 38 
47 144 -15 
84 -105 39 
-49 -37 4 
-32 -103 -99 
134 -27 6 
-195 85 -53 
44 -63 -95 
-176 180 13 
60 -31 55 
-13 35 88 
-53 -88 74 
-57 62 -21 
-83 49 45 
169 41 -109 
72 116 38 
36 175 -139 
15 113 -59 
-51 -65 -198 
52 -16 46 
147 10 169 
-174 -37 116 
-29 180 133 
-156 -183 161 
-34 -184 31 
-110 45 30 
