# instance by G2
# solution = 10001011010110011101100101101111110101101000101101111001010110001001001011101010111101101110001010001110010110111111010010101011101011000101101010011110000101111101000110000001010101101110111101011000
200 2000 3
-176 -112 -57 
-45 -115 159 
-181 117 -149 
166 146 128 
185 -88 180 
-117 6 199 
-69 -130 142 
145 -3 64 
-17 113 125 
-53 66 -94 
-9 8 71 
152 65 -110 
174 149 55 
-64 -36 -191 
134 42 72 
156 -70 -86 
-101 21 160 
-156 149 46 
-122 43 56 
-72 155 -65 
-110 -161 -63 
92 138 42 
51 112 183 
-143 12 -173 
-164 181 56 
160 164 -114 
-57 179 -186 
-27 157 7 
64 -131 -132 
-157 183 -124 
-90 -14 49 
-53 27 -4 
-180 -116 -130 
62 3 148 
76 132 12 
-162 -100 80 
176 -101 42 
84 147 -131 
-60 46 -165 
-2 -48 115 
-32 -93 74 
-132 23 -67 
5 50 45 
-167 -37 -75 
135 169 174 
-106 -4 48 
135 -166 54 
48 -30 -158 
-15 -66 144 
-195 40 4 
-114 96 7 
100 185 130 
34 137 160 
71 76 26 
-74 120 26 
140 -114 64 
14 -41 -136 
-18 -34 52 
-45 39 -61 
-39 -139 -5 
-140 133 -196 
191 75 -177 
99 -51 95 
141 -54 124 
-89 -64 -189 
173 49 -28 
-59 -35 23 
-29 112 193 
-121 -99 103 
104 45 200 
-23 -54 -68 
-39 -181 171 
-190 -57 -51 
150 -69 -46 
-9 -77 21 
191 -31 80 
62 148 119 
-124 68 -101 
-140 -81 168 
92 -37 178 
180 75 114 
131 -87 115 
5 170 -23 
-164 -7 -126 
-58 108 71 
50 115 69 
83 27 196 
24 -25 10 
158 42 -67 
168 -119 -153 
-156 -57 136 
149 120 -200 
-69 200 -172 
108 -34 -74 
148 46 -19 
-56 49 -135 
32 139 195 
-75 -13 -120 
-185 107 -28 
-96 -43 146 
1 -62 -177 
-109 187 19 
77 193 -182 
-4 -169 163 
-51 171 129 
10 -8 -133 
154 3 30 
18 132 124 
-28 136 192 
184 -104 71 
-106 -104 113 
177 -98 47 
127 6 167 
87 91 55 
-103 164 -102 
169 -98 -177 
-113 99 89 
98 -27 84 
31 118 -36 
-60 -82 -4 
-180 -35 -129 
-64 -88 -164 
-111 149 173 
134 -196 192 
-132 18 159 
65 117 -165 
27 -55 13 
-36 -37 -149 
123 119 44 
-64 33 22 
-147 -96 -185 
87 39 101 
-200 -93 -122 
121 -84 159 
-189 -137 59 
-40 -75 199 
147 132 -55 
141 156 74 
34 -82 176 
-22 -135 112 
128 -82 199 
190 200 -154 
-26 -38 41 
181 -48 -195 
81 -117 -17 
-159 93 30 
-153 57 -139 
179 121 -16 
123 90 -102 
-12 5 -60 
-155 -32 -13 
-9 190 -92 
173 55 134 
-198 116 46 
110 -39 -62 
-23 54 -140 
138 5 -103 
149 55 198 
141 137 55 
152 155 79 
-142 3 58 
109 10 44 
-60 -71 123 
-179 162 2 
125 -76 -40 
-95 141 30 
46 -114 131 
180 -68 -147 
